Id,Name,created_at,Νεα Δημοκρατια,Συριζα,Κιναλ,ΚΚΕ,prob
5185,sar_***,2013,---,--,++,++,0.35
24819,Basi***,2022,=,---,=,-,0.50
24823,Geor***,2022,---,=,=,-,0.50
12788,Venu***,2020,-,=,+,-,0.13
18361,PapK***,2014,=,---,-,--,0.06
1823,Alle***,2011,---,--,-,--,0.47
2899,Kost***,2011,---,--,-,-,0.21
18381,John***,2010,--,---,-,---,0.49
2442,Goul***,2011,++,---,-,-,0.03
1330,Rena***,2010,--,--,-,-,0.38
10715,Alex***,2019,+,--,=,+,0.36
12948,Alte***,2020,---,--,-,-,0.39
1825,geia***,2011,+,-,+,+,0.10
4339,Sidi***,2012,--,--,-,-,0.42
18392,Vass***,2019,---,--,=,-,0.21
1542,more***,2010,---,--,-,--,0.08
6778,argz***,2015,---,-,-,--,0.16
6780,axri***,2015,+++,--,--,-,0.24
13465,_The***,2021,---,--,-,-,0.36
6651,Epik***,2014,---,--,--,--,0.66
4297,kost***,2012,--,--,--,--,0.32
6398,come***,2014,--,--,-,--,0.21
2641,Stav***,2011,-,--,---,--,0.20
1774,SP_C***,2011,=,-,-,-,0.07
18408,kana***,2011,---,--,-,---,0.31
7303,MPap***,2015,---,=,+++,=,0.05
6009,lyra***,2014,---,---,--,--,0.11
18411,Mylo***,2015,-,--,=,---,0.05
966,nika***,2010,--,--,-,=,0.11
6574,lena***,2014,--,++,=,---,0.26
1237,Mari***,2010,---,---,---,-,0.09
2079,GioG***,2011,---,--,--,-,0.11
3237,y******,2011,---,-,-,--,0.21
996,gazo***,2010,--,--,-,--,0.32
18418,pano***,2009,++,+,-,++,0.02
7455,aspa***,2015,--,---,+,--,0.37
7098,SpiP***,2015,++,--,--,+,0.11
2278,yo_g***,2011,++,+,+,+,0.28
18421,MMan***,2011,-,--,=,=,0.13
74,_OLi***,2008,--,---,+,--,0.07
3804,ImpO***,2012,---,---,-,--,0.14
8411,Stak***,2016,--,---,=,-,0.35
18428,sulp***,2013,++,--,-,---,0.33
4485,ores***,2012,-,--,+,-,0.66
20865,zoob***,2021,++,+,+,+++,0.13
7083,agia***,2015,--,--,-,--,0.21
4794,NIKX***,2012,++,=,=,+++,0.22
14,Nico***,2007,---,-,--,---,0.01
18442,gari***,2009,=,-,+,+++,0.02
5899,byrw***,2014,+,--,+,-,0.05
1612,l******,2010,---,--,-,=,0.32
1447,GgRe***,2010,---,--,-,++,0.05
5128,tenb***,2013,--,--,++,-,0.40
773,GRIS***,2009,+++,+,=,+,0.33
9384,Gree***,2017,--,--,++,++,0.14
2081,Anto***,2011,+++,--,-,+,0.11
9439,elen***,2017,---,-,-,--,0.28
9749,fora***,2018,-,--,=,-,0.52
16076,mado***,2022,+++,--,+,++,0.27
17572,d******,2022,--,--,-,--,0.90
16827,Stev***,2022,+++,=,=,+,0.65
18453,Prom***,2022,+,--,--,+++,0.69
4630,rach***,2012,--,---,-,--,0.13
2284,spar***,2011,---,--,--,--,0.19
10551,musi***,2019,--,---,-,--,0.33
14083,onne***,2021,+,---,-,-,0.39
18465,Sexy***,2021,---,-,-,--,0.52
17267,adve***,2022,-,--,-,--,0.86
18464,Ilai***,2021,+++,--,-,++,0.14
8961,s******,2017,++,---,-,-,0.65
9440,Vaia***,2017,---,--,-,-,0.12
12335,niko***,2020,---,--,-,--,0.15
11311,ESyn***,2019,---,--,-,-,0.45
11778,lYjG***,2020,---,--,=,-,0.47
22048,Elen***,2022,--,---,=,-,0.49
12765,russ***,2020,++,+,+,+,0.56
12639,rLds***,2020,---,-,-,--,0.29
22493,YRDG***,2019,--,--,---,---,0.30
22494,Siss***,2019,--,+++,-,-,0.16
22366,Prae***,2021,---,---,-,-,0.41
22368,Souz***,2020,---,--,-,--,0.20
17514,NikF***,2022,-,--,-,--,0.61
22050,Elen***,2020,---,+,+,-,0.17
4938,NMar***,2013,---,--,--,--,0.11
22051,Alex***,2022,---,---,--,--,0.69
22052,soul***,2022,---,---,=,-,0.15
7688,apos***,2015,+++,-,-,-,0.14
18487,Gift***,2014,-,---,=,-,0.11
4984,Zoe_***,2013,+++,+,=,+,0.63
5384,kyri***,2013,--,--,-,--,0.30
10184,info***,2018,--,--,---,---,0.24
10189,manc***,2018,---,=,=,=,0.50
22060,TVar***,2019,---,--,=,-,0.07
